ingrediente,price_max,price_min
"""Acciughe sottolio",49.83,49.08
"""Acciughe sottolio filetti",47.6,38.4
"""Burrata (4 da 125 g luna)",20.72,13.52
"""Cosciotto dagnello",3.99,3.99
"""Filetto di salmone da 200 g luno",74.5,17.45
"""Peperoncini Jalapeno sottaceto",13.93,13.93
"""Peperoni sottolio arrosto",49.75,6.9
"""Petto danatra",29.83,10.68
"""Piadine Sfogliatissime allOlio EVO",12.5,3.65
"""Piadine Sfogliatissime allolio EVO",12.5,3.65
"""Piadine sfogliatissime allolio EVO",12.5,3.65
"""Pomodori secchi sottolio",14.32,10.32
"""Pomodori secchi sottolio (non sgocciolati)",14.32,10.32
"""Pomodori secchi sottolio (peso sgocciolati)",14.32,10.32
"""Primosale (da 190 g luno)",17.63,13.61
"""Scorza darancia",19.5,19.5
"""Scorza darancia grattugiata",19.5,19.5
"""Senape di Digione allancienne",12.79,12.79
"""Succo darancia",51.5,1.79
"""Tonno sottolio",162.5,11.14
"""Tonno sottolio al",162.5,11.14
"""Tonno sottolio con limone e pepe",23.77,23.77
"""Tonno sottolio extravergine doliva sgocciolato",162.5,11.14
"""Tonno sottolio filetti",55.47,55.47
"""Tonno sottolio sgocciolato",162.5,11.14
"""Vacherin Mont dOr forma intera",32.12,9.16
"""Zenzero sottaceto",71.07,5.56
Aceto balsamico,41.2,3.98
Aceto balsamico di,41.2,3.98
Aceto di lamponi,31.84,6.22
Aceto di mele,4.18,2.3
Aceto di riso,4.18,0.69
Aceto di sidro,0.69,0.69
Aceto di vino bianco,3.18,0.85
Aceto di vino bianco cucchiai,3.18,0.85
Acqua,2.78,0.11
Acqua (a temperatura ambiente),2.78,0.11
Acqua (ghiacciata),2.78,0.11
Acqua a temperatura ambiente,2.78,0.11
Acqua calda,7.12,7.12
Acqua circa,2.78,0.11
Acqua facoltativa,2.78,0.11
Acqua fredda,2.78,0.11
Acqua tiepida,2.78,0.11
Aglio,70.0,13.52
Aglio in polvere,33.17,33.17
Aglio orsino,70.0,7.32
Aglio rosso,31.58,7.32
Agnello polpa,19.49,2.49
Albumi,,
Alga Wakame,106.25,106.25
Alga kombu,,
Alga nori,56.9,56.9
Alga nori (da 19x21),56.9,56.9
Alloro,136.11,33.33
Amido di mais (maizena),4.36,3.96
Anacardi,23.2,23.2
Anacardi (tostati),23.2,23.2
Anacardi tritati,33.33,12.96
Aneto,23.47,23.47
Anice stellato,8.99,5.38
Appenzeller,,
Arachidi,14.66,14.66
Arachidi in granella,22.9,8.29
Arachidi salate tostate,33.0,16.43
Aragosta 4,,
Arance,33.8,2.12
Arance (pelate),33.8,2.12
Arance bionde,3.99,3.99
Asiago,15.69,9.85
Asiago grattugiato,31.67,12.9
Asparagi,20.76,5.56
Astice (congelato già cotto),,
Avocado,12.6,12.6
Avocado (maturi),12.6,12.6
Avocado grossi e maturi,3.3,1.9
Avocado hass,13.73,9.9
Avocado maturo,13.73,9.92
Baccalà sotto sale,15.0,15.0
Bacche di Goji,90.45,7.78
Bacche di ginepro,90.45,90.45
Bacon,22.27,11.07
Bacon a fette,37.9,14.97
Bacon affumicato,20.52,20.52
Baguette,18.95,3.0
Barbabietole,3.7,3.7
Barbabietole (circa 1 intera),3.7,3.7
Barbabietole precotte,7.47,7.47
Barbabietole precotte (già pelate),7.47,7.47
Basilico,132.67,2.0
Basilico (1 foglia grande),132.67,2.0
Berberè,,
Bicarbonato,3.93,1.98
Biete,,
Bietole,,
Bietole (fresche),,
Bietole già pulite,24.9,24.9
Birra chiara,2.98,2.98
Birra chiara fredda,2.98,2.98
Birra rossa,6.03,3.12
Birra rossa fredda,6.03,3.12
Birra scura,7.45,1.64
Birra scura (tipo trappista),7.45,1.64
Brandy,14.13,8.56
Branzino (spigola) abbattuto,21.9,21.9
Brie,17.95,10.45
Broccoletti,5.18,2.96
Broccoli romaneschi,18.06,2.54
Brodo di carne,27.92,2.29
Brodo di pollo,27.92,2.29
Brodo vegetale,15.8,9.27
Bulgur,14.39,14.39
Bulgur (a grana fine),14.39,14.39
Burrata,20.72,13.52
Burrata piccole,20.72,13.52
