Recipe Name,Portions,Cooking Time (min),Calories (Kcal)
Insalata di riso,2,35,660.0
Chili con carne,2,135,562.0
Gateau di patate,2,100,317.0
Paella de marisco,3,95,617.0
Piadina romagnola fatta in casa,2,34,488.0
Insalata di ceci estiva,1,30,154.0
Spaghetti di riso con carne e verdure,2,38,293.0
Frittata di spaghetti,2,30,421.0
Rosti,2,45,274.0
Peperoni ripieni di carne e salsiccia,3,70,
Couscous freddo di pollo,2,35,499.0
Parmigiana di patate,2,60,609.0
Gnocco fritto,4,62,324.0
Omelette (ricetta base),1,9,287.0
Hamburger di ceci,2,25,719.0
Club Sandwich,2,30,623.0
Fajitas,1,40,574.0
Panzanella,1,30,376.0
Croque monsieur,1,30,583.0
Empanadas argentine,1,120,387.0
Pomodori ripieni,2,100,401.0
Couscous ai frutti di mare,3,90,442.0
Moussaka,3,210,1905.0
Sushi fatto in casa,4,110,
"Riso freddo con tonno, zucchine e limone",2,35,420.0
Zuppa di pesce,4,105,370.0
Burrito,2,160,897.0
Tacos veloci,1,30,543.0
Uova al pomodoro,1,40,188.0
Tiella barese,2,80,397.0
Paccheri ripieni con salsiccia e funghi,3,100,790.0
Pollo tikka masala,2,60,405.0
Crescentine o tigelle,1,20,217.0
Ramen,3,380,1059.0
Sformato di verdure,2,90,531.0
Insalata di pollo e zucchine,1,30,221.0
Fave e cicorie selvatiche,1,180,429.0
Ossobuco alla milanese con risotto giallo,1,240,1028.0
Paella alla valenciana,3,80,472.0
Salsiccia e fagioli,2,85,739.0
Fagioli all'uccelletto,1,80,313.0
Insalata di farro e orzo estiva,1,40,403.0
Gulash Ungherese,2,170,447.0
Ribollita,3,155,427.0
Melanzane ripiene di riso con cuore filante,2,60,891.0
Panelle,3,75,452.0
Patate al forno ripiene,1,95,380.0
Gnudi,2,40,421.0
Polenta,3,80,484.0
Insalata nizzarda,1,27,319.0
Tacos con carne,1,120,258.0
Baozi,4,73,350.0
Ragù alla napoletana,2,270,407.0
Peperoni ripieni di riso,1,85,830.0
Straccetti di pollo al curry,2,40,627.0
Hamburger all'italiana,2,55,1317.0
Crespelle alla crema di funghi e fontina,2,35,396.0
Frico con patate e cipolle,2,60,753.0
Couscous tonno e zucchine,2,35,401.0
Pollo e gamberi al curry con riso basmati,2,45,689.0
Peperoni ripieni vegetariani,2,110,416.0
Torta rustica,2,75,429.0
Spaghetti di soia con verdure e gamberi,2,45,342.0
Gyros,2,75,617.0
Zuppa di patate e borlotti,2,65,509.0
Dahl di lenticchie rosse,2,130,445.0
Crescione,3,80,702.0
Frittata di spaghetti alla napoletana,2,80,404.0
Insalata di riso venere,1,40,309.0
Spezzatino di tacchino,2,90,552.0
Pad thai,2,30,609.0
Croque madame,2,20,300.0
Pulled pork,2,630,651.0
Couscous alla marocchina,3,125,491.0
Involtini di verza,3,90,305.0
Uramaki,3,15,289.0
Veggie burger,2,26,645.0
Polpettone,1,120,466.0
Pizza senza glutine,2,45,2077.0
Polpettone alla ligure,2,128,406.0
Insalata di ceci gamberi e rucola,1,30,233.0
Piadina senza strutto,2,30,394.0
Crepe alla crema di asparagi,2,80,645.0
Omelette con stracchino e prosciutto cotto,2,9,310.0
Paella vegetariana,2,85,583.0
Torta salata di asparagi,3,70,448.0
Sformato di cavolfiore,2,115,617.0
Onigiri,4,90,378.0
Couscous con piselli e gamberi,2,50,382.0
Curry vegetariano con zucca e ceci,2,170,651.0
Panettone gastronomico,4,75,512.0
Boeuf bourguignon,3,330,493.0
Cotechino con lenticchie,2,65,811.0
Cialdine al parmigiano,2,17,101.0
Insalata con gamberi nell'ananas,2,25,158.0
Burrito di pollo con guacamole al lime,2,30,755.0
Hamburger vegetariano,1,120,501.0
Curry di gamberi,2,75,171.0
Hot dog,2,45,441.0
Piadina di ceci,2,35,
Hosomaki,4,30,138.0
Bagna caoda,3,100,916.0
Involtini vietnamiti con salsa agrodolce,2,55,
Omelette di verdure,2,40,662.0
Trippa alla milanese (busecca),3,100,433.0
Lasagne di pane carasau,1,120,794.0
Gateau di zucchine con cuore filante,2,70,709.0
Chicken pie,3,110,
Spezzatino di cinghiale con polenta taragna,3,170,1423.0
Lenticchie e salsiccia,2,110,762.0
Sartù di riso,4,380,1226.0
Spaghetti di riso con verdure e pollo caramellato,2,25,335.0
Casoeûla,3,150,1449.0
"Insalata con tonno, mozzarella e peperoni",2,50,414.0
Insalata di riso al profumo di mare,3,40,323.0
Shepherd's pie,2,150,616.0
Fonduta alla Valdostana,2,170,523.0
Spezzatino di seitan con verdure stufate,2,25,591.0
Rotolo porcini e prosciutto,2,55,635.0
Spaghetti di soia all'orientale,2,30,461.0
Zighinì,1,180,548.0
Torta salata al radicchio,2,55,378.0
Trippa alla parmigiana,1,170,592.0
McChicken®,2,35,
Fregola con ceci e pancetta,2,35,339.0
Peperoni imbottiti alla napoletana,3,70,703.0
Pizza in padella,3,45,737.0
Insalata di patate e cetrioli,2,50,438.0
Cheeseburger,2,40,602.0
Tartiflette,2,65,691.0
Masala di ceci,2,45,
Acquasale,1,20,199.0
Pizza di Kamut®,3,35,1817.0
Pizza fritta con mortadella e fiordilatte,4,45,
Tonno fagioli e cipolla,1,65,336.0
Nigiri,4,40,
Fonduta di Parmigiano,1,20,365.0
Crespelle gorgonzola e radicchio,2,50,347.0
Polenta concia,2,70,848.0
Insalata di orzo e salmone,2,40,541.0
Kebab fatto in casa,3,105,
Tempeh alle verdure,1,25,315.0
Torta rustica di patate e cipolle,2,60,377.0
Bacalhau à Braz,3,40,801.0
Burrito con verdure,3,50,925.0
Raclette,2,35,1080.0
Filetto di merluzzo allo zenzero,2,55,403.0
Kimchi,2,80,83.0
Insalata di pollo e mele,1,25,363.0
Polenta e bruscitt,1,170,809.0
Panzanella croccante,1,115,234.0
Polpette in insalata,2,25,
Pasticcio di patate e pancetta,2,105,732.0
Pasticcio di pollo e patate,2,135,349.0
Veggie wrap,1,35,437.0
Pane cunzato,1,20,
Crescia sfogliata,3,36,495.0
Frittata di ortiche,2,35,232.0
Brodetto fanese,2,70,690.0
Curry verde Thai,2,50,291.0
Chicken rolls,2,40,338.0
Grilled cheese sandwich,1,13,
Piadine con petti di pollo e mais,2,30,526.0
Insalata di farro fredda,1,30,348.0
Noodles con pollo e gamberi,2,40,
Polenta taragna,2,30,681.0
Ciambella di riso ripiena,2,160,
Omelette regina,1,25,325.0
"Peperoni ripieni di ricotta, melanzane e pinoli",2,80,
Quiche di zucchine trombetta,2,90,408.0
Bagel farcito,4,90,412.0
Ciambella salata,2,70,
Polenta con salsiccia e formaggio,2,90,1632.0
Carciofi ripieni,2,80,295.0
Peperoni ripieni di couscous,2,95,388.0
Insalata di riso alla marinara,1,120,375.0
Bollito misto alla Piemontese,3,200,671.0
Tabuleh con verdure,2,150,159.0
Rotolo di crespelle con zucchine,3,95,434.0
Cotechino in crosta,3,80,1051.0
Insalata di pollo e avocado,2,60,
Quesadillas,2,55,937.0
Coniglio in salmì con polenta,2,150,526.0
Quiche di polenta,1,75,341.0
Panada,3,135,1100.0
Farro tiepido con pollo al miele,1,30,521.0
Paella algherese,3,60,
Cime di rapa con salsiccia,2,60,568.0
Moscardini alla busara,1,120,389.0
Jambalaya,2,70,1119.0
Lampredotto,2,105,254.0
Torta salata alla cipolla di Tropea e Silano,1,90,
Crema di porri e patate con spiedino di salmone,2,75,612.0
Angelica salata alla birra,4,95,460.0
Torta di ceci,2,30,
Lingue di pizza,3,100,
Piadina senza glutine,2,25,319.0
Pomodori ripieni di carne,2,65,161.0
Fajitas di pollo e cubetti di pancetta affumicata,2,30,
Lomo saltado,2,60,
Couscous con verdure e polpettine di pesce,2,75,468.0
Zucchine ripiene di riso,2,60,
Vellutata di ceci con sautè di cozze e vongole,1,75,623.0
