product_name,brand,price,source_file
Carrefour Classic Burger di Prosciutto Cotto 2 x 75 g,Carrefour,"15,93",GASTRONOMIA
"Carrefour Veg Medaglioni Bulgur, broccoli e pomodori secchi 2 x 90 g",Carrefour Veg,"14,39",GASTRONOMIA
"Carrefour Veg Medaglioni Melanzane, farro e miglio 2 x 90 g",Carrefour Veg,"14,39",GASTRONOMIA
Carrefour Extra Cannelloni Ricotta e Spinaci 350 g,Carrefour,"9,97",GASTRONOMIA
Carrefour Sensation Vegetal Cous Cous Aromatico 200 g,Carrefour,"15,95",GASTRONOMIA
Carrefour Sensation Vegetal Tabulè Mediterraneo 200 g,Carrefour,"15,95",GASTRONOMIA
Carrefour Extra Vitello Tonnato 180 g,Carrefour,"22,17",GASTRONOMIA
Carrefour Veg Insalata di Farro con verdure miste 200 g,Carrefour Veg,"14,95",GASTRONOMIA
Teneroni Hamburger con Vitello 2 x 75 g,Teneroni,"11,93",GASTRONOMIA
Carrefour Bon appétit! Polpette di Carne 210 g,Carrefour,"23,81",GASTRONOMIA
Valsoia Bontà e Salute Super Affettato Gusto Speck 90 g,Valsoia Bontà e Salute,"47,67",GASTRONOMIA
Carrefour Bon appétit! Cavolfiori Lessati 200 g,Carrefour,"15,00",GASTRONOMIA
Bis di Verdure Grigliate,Carrefour,"15,00",GASTRONOMIA
Cannelloni Ricotta e Spinaci,Carrefour,"19,23",GASTRONOMIA
Kikkoman Salsa di Soia 150 ml,Kikkoman,"19,93",GASTRONOMIA
Kikkoman Salsa di Soia a Tasso Ridotto di Sale150 ml,Kikkoman,"19,93",GASTRONOMIA
Carrefour Bon appétit! Fagiolini Lessati 190 g,Carrefour,"14,16",GASTRONOMIA
Carrefour Sensation Spicy Salsa 315 g,Carrefour,"6,32",GASTRONOMIA
Carrefour Kit Fajitas 505 g,Carrefour,"10,08",GASTRONOMIA
Olive all'etnea da banco,Banco Gastronomia Carrefour,"14,90",GASTRONOMIA
Carrefour Classic Lievito Fresco 2 x 25 g,Carrefour,"7,80",GASTRONOMIA
Carrefour Classic Pasta Brisée Rotonda 230 g,Carrefour,"6,74",GASTRONOMIA
Lasagne alla Bolognese da banco,Banco Gastronomia Carrefour,"12,89",GASTRONOMIA
Carrefour Classic Pasta Frolla Rotonda 230 g,Carrefour,"5,87",GASTRONOMIA
Carrefour Bon appétit! Vitello Tonnato 200 g,Carrefour,"25,00",GASTRONOMIA
"Golfera Ben Fatto Lasagna al Ragù 0,250 kg",Golfera,"23,96",GASTRONOMIA
"Golfera Ben Fatto Vitello Tonnato 0,150 kg",Golfera,"39,93",GASTRONOMIA
Carrefour il Mercato Lasagne alla Bolognese 380 g,Carrefour,"13,16",GASTRONOMIA
Filetti di alici marinate da banco,Banco Gastronomia Carrefour,"33,90",GASTRONOMIA
Lasagne alla bolognese,Freschi con Gusto,"13,90",GASTRONOMIA
BUITONI Pasta Sfoglia Rotonda Rotolo 230g,BUITONI,"9,35",GASTRONOMIA
Carrefour Classic Pasta Sfoglia 230 g,Carrefour,"6,74",GASTRONOMIA
Carrefour Classic Piadina con Olio Extra Vergine d'Oliva 3 x 100 g,Carrefour,"5,17",GASTRONOMIA
Kioene miniburger l'Originale vegetale agli Spinaci 200 g,Kioene,"16,25",GASTRONOMIA
Carrefour Extra Gnocchetti alla Tirolese 350 g,Carrefour,"4,54",GASTRONOMIA
BUITONI Pasta Sfoglia Rettangolare Rotolo 230g,BUITONI,"8,48",GASTRONOMIA
Teneroni Hamburger con Prosciutto Cotto 2 x 75 g,Teneroni,"11,93",GASTRONOMIA
Carrefour Bio Tofu al naturale 2 x 125 g,Carrefour Bio,"7,96",GASTRONOMIA
Terre d'Italia Piada Romagnola IGP alla Riminese 3 piade precotte 360 g,Terre d'Italia,"7,47",GASTRONOMIA
Carrefour Classic Pasta Sfoglia Rettangolare 230 g,Carrefour,"7,61",GASTRONOMIA
Giovanni Rana Gnocchi Freschi di Patate 500 g,Giovanni Rana,"5,98",GASTRONOMIA
Giovanni Rana Gnocchetti Freschi di Patate 500 g,Giovanni Rana,"5,98",GASTRONOMIA
Carrefour Original Chicche di Patate 500 g,Carrefour,"2,38",GASTRONOMIA
Giovanni Rana Lasagne alla Bolognese 350 g,Giovanni Rana,"8,14",GASTRONOMIA
Terre d'Italia Pinsa 230 g,Terre d'Italia,"10,83",GASTRONOMIA
Kioene Burger vegetale alle Melanzane 200 g,Kioene,"16,25",GASTRONOMIA
Viva la Mamma Vitel Tonnè 180 g,Viva la Mamma,"27,17",GASTRONOMIA
Roast Beef all'inglese da banco,Banco Gastronomia Carrefour,"24,91",GASTRONOMIA
GARDEN GOURMET Straccetti di Soia Vegetariani 175 g,GARDEN GOURMET,"22,80",GASTRONOMIA
Barilla Emiliane Tortellini Pasta all'Uovo 250 g,Barilla,"10,36",GASTRONOMIA
Giovanni Rana Sfogliagrezza Prosciutto Crudo 250 g,Giovanni Rana,"15,00",GASTRONOMIA
Carrefour Classic Tortellini Prosciutto Crudo 250 g,Carrefour,"7,56",GASTRONOMIA
Kioene Burger vegetale con Carciofi e Pomodori Secchi 200 g,Kioene,"16,25",GASTRONOMIA
Amica Chips Señorita Tortilla Classica 200 g,Amica Chips,"9,25",GASTRONOMIA
Quadrucci alla carne,Pastificio Orobico,"10,36",GASTRONOMIA
Milk Pro High Protein Pancakes Freschi 4 x 40 g,Milk,"18,06",GASTRONOMIA
Simpl Gnocchi di patate 1 kg,Simpl,"0,99",GASTRONOMIA
Terre d'Italia Trofie della Liguria 300 g,Terre d'Italia,"5,63",GASTRONOMIA
Carrefour Bio Mini Burger di melanzane 4 x 40 g,Carrefour Bio,"18,06",GASTRONOMIA
Riccionepiadina Piadina Romagnola IGP alla Riminese 3 x 120 g,Riccionepiadina,"9,97",GASTRONOMIA
Terre d'Italia Tortellini alla Bolognese 250 g,Terre d'Italia,"14,60",GASTRONOMIA
Carrefour Classic Ravioli Funghi con Champignon e Porcini 250 g,Carrefour,"7,56",GASTRONOMIA
Tortelli ricotta e spinaci,Pastificio Orobico,"10,36",GASTRONOMIA
Simpl Tortellini al prosciutto Crudo 500 g,Simpl,"3,38",GASTRONOMIA
Giovanni Rana Duetto Burrata & Basilico 250 g,Giovanni Rana,"15,96",GASTRONOMIA
Fratelli Beretta Tramezzino Più Prosciutto Cotto Alta Qualità 140 g,Fratelli Beretta,"13,21",GASTRONOMIA
Carrefour Sensation Tortilla Nachos Natural 200 g,Carrefour,"4,95",GASTRONOMIA
Carrefour Bon appétit! Cotto e Maionese 2 x 75 g,Carrefour,"13,27",GASTRONOMIA
GARDEN GOURMET Cotoletta Sottile Vegetale di Soia e Frumento 2 pezzi 180 g,GARDEN GOURMET,"15,50",GASTRONOMIA
"Giovanni Rana Giro d'Italia Ripieno Burrata, Cime di Rapa e Acciughe 250 g",Giovanni Rana,"15,96",GASTRONOMIA
Giovanni Rana Sfogliagrezza Vitello 250 g,Giovanni Rana,"15,00",GASTRONOMIA
Kioene miniburger l'Originale vegetale con Zucca e Carote 200 g,Kioene,"0,02",GASTRONOMIA
Carrefour Bio Piadina di grano khorasan Kamut 3 x 75 g,Carrefour Bio,"13,73",GASTRONOMIA
