Date;Composite;S&P 500 (SP50)
06/07/24;568,01;569,41
06/06/24;568,01;569,41
06/05/24;568,13;569,52
06/04/24;561,49;562,86
06/03/24;560,65;562,01
05/31/24;560,03;561,38
05/30/24;555,56;556,91
05/29/24;558,89;560,26
05/28/24;563,04;564,42
05/24/24;562,91;564,28
05/23/24;559,00;560,36
05/22/24;563,17;564,52
05/21/24;564,71;566,05
05/20/24;563,31;564,64
05/17/24;562,80;564,12
05/16/24;562,14;563,47
05/15/24;563,29;564,64
05/14/24;556,76;558,11
05/13/24;554,08;555,42
05/10/24;554,21;555,55
05/09/24;553,29;554,64
05/08/24;550,48;551,83
05/07/24;550,48;551,83
05/06/24;549,75;551,09
05/03/24;544,14;545,46
05/02/24;537,40;538,69
05/01/24;532,56;533,82
04/30/24;534,38;535,66
04/29/24;542,87;544,22
04/26/24;541,15;542,50
04/25/24;535,69;537,02
04/24/24;538,15;539,48
04/23/24;538,05;539,37
04/22/24;531,69;532,99
04/19/24;527,09;528,38
04/18/24;531,74;533,05
04/17/24;532,91;534,23
04/16/24;536,00;537,33
04/15/24;537,11;538,44
04/12/24;543,64;544,99
04/11/24;551,67;553,04
04/10/24;547,59;548,95
04/09/24;552,81;554,19
04/08/24;552,01;553,39
04/05/24;552,21;553,60
04/04/24;546,15;547,52
04/03/24;552,98;554,36
04/02/24;552,38;553,76
04/01/24;556,41;557,80
03/28/24;557,49;558,92
03/27/24;556,86;558,30
03/26/24;552,09;553,52
03/25/24;553,65;555,07
03/22/24;555,36;556,78
03/21/24;556,15;557,56
03/20/24;554,36;555,76
03/19/24;549,45;550,85
03/18/24;546,37;547,76
03/15/24;542,94;544,32
03/14/24;546,47;547,87
03/13/24;548,04;549,45
03/12/24;549,07;550,51
03/11/24;542,96;544,41
03/08/24;543,57;545,02
03/07/24;547,13;548,60
03/06/24;541,56;543,01
03/05/24;538,79;540,23
03/04/24;544,33;545,79
03/01/24;544,98;546,45
02/29/24;540,66;542,11
02/28/24;537,84;539,29
02/27/24;538,74;540,18
02/26/24;537,82;539,26
02/23/24;539,87;541,31
02/22/24;539,68;541,12
02/21/24;528,52;529,93
02/20/24;527,86;529,26
02/16/24;531,04;532,46
02/15/24;533,61;535,03
02/14/24;530,52;531,93
02/13/24;525,49;526,88
02/12/24;532,78;534,19
02/09/24;533,28;534,70
02/08/24;530,24;531,64
02/07/24;529,94;531,34
02/06/24;525,61;527,00
02/05/24;524,40;525,78
02/02/24;526,08;527,46
02/01/24;520,53;521,89
01/31/24;514,11;515,45
01/30/24;522,52;523,88
01/29/24;522,84;524,20
01/26/24;518,92;520,27
01/25/24;519,26;520,61
01/24/24;516,53;517,88
01/23/24;516,13;517,46
01/22/24;514,70;515,95
01/19/24;513,57;514,83
01/18/24;507,32;508,56
01/17/24;502,90;504,12
01/16/24;505,75;506,97
01/12/24;507,64;508,87
01/11/24;507,27;508,49
01/10/24;507,60;508,83
01/09/24;504,75;505,96
01/08/24;505,50;506,71
01/05/24;498,47;499,66
01/04/24;497,56;498,75
01/03/24;499,26;500,46
01/02/24;503,31;504,51
12/29/23;506,16;507,38
12/28/23;507,60;508,82
12/27/23;507,41;508,63
12/26/23;506,68;507,90
12/22/23;504,54;505,76
12/21/23;503,70;504,93
12/20/23;498,55;499,78
12/19/23;505,99;507,23
12/18/23;503,04;504,27
12/15/23;500,78;501,99
12/14/23;500,82;502,03
12/13/23;499,48;500,71
12/12/23;492,76;493,96
12/11/23;490,51;491,70
12/08/23;488,59;489,78
12/07/23;486,60;487,78
12/06/23;482,76;483,93
12/05/23;484,64;485,82
12/04/23;484,93;486,10
12/01/23;487,54;488,74
11/30/23;484,69;485,89
11/29/23;482,86;484,06
11/28/23;483,32;484,52
11/27/23;482,84;484,04
11/24/23;483,78;484,99
11/22/23;483,48;484,70
11/21/23;481,52;482,74
11/20/23;482,50;483,72
11/17/23;478,97;480,17
11/16/23;478,36;479,56
11/15/23;477,80;478,98
11/14/23;477,03;478,22
11/13/23;468,09;469,27
11/10/23;468,49;469,66
11/09/23;461,28;462,44
11/08/23;465,04;466,21
11/07/23;464,58;465,74
11/06/23;463,27;464,42
11/03/23;462,46;463,61
11/02/23;458,15;459,29
11/01/23;449,67;450,79
10/31/23;445,01;446,11
10/30/23;442,14;443,24
10/27/23;436,89;437,98
10/26/23;439,00;440,09
10/25/23;444,25;445,36
10/24/23;450,71;451,84
10/23/23;447,44;448,58
10/20/23;448,20;449,34
10/19/23;453,91;455,06
10/18/23;457,79;458,96
10/17/23;464,02;465,19
10/16/23;464,06;465,24
10/13/23;459,19;460,36
10/12/23;461,51;462,68
10/11/23;464,41;465,59
10/10/23;462,43;463,60
10/09/23;460,03;461,20
10/06/23;457,15;458,31
10/05/23;451,81;452,96
10/04/23;452,40;453,55
10/03/23;448,77;449,90
10/02/23;455,03;456,17
09/29/23;455,01;456,13
09/28/23;456,24;457,37
09/27/23;453,57;454,69
09/26/23;453,47;454,59
09/25/23;460,25;461,39
09/22/23;458,42;459,54
09/21/23;459,48;460,60
09/20/23;467,14;468,28
09/19/23;471,57;472,72
09/18/23;472,59;473,74
09/15/23;472,25;473,39
09/14/23;478,07;479,22
09/13/23;474,07;475,22
09/12/23;473,52;474,63
09/11/23;476,23;477,34
09/08/23;473,04;474,16
09/07/23;472,37;473,48
09/06/23;473,89;475,01
09/05/23;477,22;478,34
09/01/23;479,23;480,36
08/31/23;478,36;479,49
08/30/23;479,11;480,26
08/29/23;477,29;478,43
08/28/23;470,47;471,58
08/25/23;467,51;468,65
08/24/23;464,39;465,52
08/23/23;470,73;471,87
08/22/23;465,59;466,72
08/21/23;466,88;468,02
08/18/23;463,70;464,82
08/17/23;463,78;464,89
08/16/23;467,38;468,50
08/15/23;470,93;472,07
08/14/23;476,44;477,58
08/11/23;473,73;474,85
08/10/23;474,23;475,36
08/09/23;474,11;475,24
08/08/23;477,47;478,61
08/07/23;479,50;480,64
08/04/23;475,22;476,34
08/03/23;477,76;478,88
08/02/23;478,98;480,10
