Date;Price;CVol;Change;% Change;Total Return (Gross, Unhedged);Cumulative Return % (Gross, Unhedged);Open;High;Low
06/21/24;5.464,6,;2917990845;-9;0;11.914,00;235;5.467,00;5.478,00;5.452,00
06/20/24;5.473,00;2917990845;-14;0;11.932,00;236;5.500,00;5.506,00;5.456,00
06/18/24;5.487,00;2470803059;14;0;11.962,00;236;5.476,00;5.490,00;5.471,00
06/17/24;5.473,00;2448236232;42;1;11.931,00;236;5.431,00;5.489,00;5.420,00
06/14/24;5.432,00;2268034329;-2;0;11.839,00;233;5.424,00;5.432,00;5.404,00
06/13/24;5.434,00;2429774480;13;0;11.841,00;233;5.442,00;5.442,00;5.403,00
06/12/24;5.421,00;2725551774;46;1;11.813,00;232;5.409,00;5.447,00;5.409,00
06/11/24;5.375,00;2353536394;15;0;11.713,00;229;5.353,00;5.376,00;5.327,00
06/10/24;5.361,00;2472292721;14;0;11.682,00;229;5.341,00;5.366,00;5.332,00
06/07/24;5.347,00;2252108651;-6;0;11.650,00;228;5.344,00;5.375,00;5.331,00
06/06/24;5.353,00;2646854112;-1;0;11.661,00;228;5.358,00;5.362,00;5.335,00
06/05/24;5.354,00;2661336222;63;1;11.664,00;228;5.314,00;5.354,00;5.298,00
06/04/24;5.291,00;2549683602;8;0;11.527,00;224;5.278,00;5.299,00;5.258,00
06/03/24;5.283,00;2717814473;6;0;11.509,00;224;5.297,00;5.302,00;5.234,00
05/31/24;5.278,00;4501379288;42;1;11.495,00;223;5.243,00;5.280,00;5.192,00
05/30/24;5.235,00;2795016888;-31;-1;11.402,00;221;5.260,00;5.260,00;5.222,00
05/29/24;5.267,00;2774980300;-39;-1;11.469,00;223;5.279,00;5.282,00;5.263,00
05/28/24;5.306,00;2720085765;1;0;11.554,00;225;5.316,00;5.316,00;5.281,00
05/24/24;5.305,00;2136623086;37;1;11.552,00;225;5.281,00;5.312,00;5.278,00
05/23/24;5.268,00;3059433281;-39;-1;11.471,00;223;5.340,00;5.342,00;5.257,00
05/22/24;5.307,00;2596271621;-14;0;11.556,00;225;5.319,00;5.323,00;5.286,00
05/21/24;5.321,00;2293035009;13;0;11.587,00;226;5.299,00;5.324,00;5.298,00
05/20/24;5.308,00;2144835359;5;0;11.558,00;225;5.305,00;5.325,00;5.302,00
05/17/24;5.303,00;2308946656;6;0;11.546,00;225;5.303,00;5.305,00;5.284,00
05/16/24;5.297,00;2515433359;-11;0;11.532,00;224;5.310,00;5.325,00;5.296,00
