Date;Price;;;;;;;;
06/21/24;5.465,;;;;;;;;
06/20/24;5.473,;;;;;;;;
06/18/24;5.487,;;;;;;;;
06/17/24;5.473,;;;;;;;;
06/14/24;5.432,;;;;;;;;
06/13/24;5.434,;;;;;;;;
06/12/24;5.421,;;;;;;;;
06/11/24;5.375,;;;;;;;;
06/10/24;5.361,;;;;;;;;
06/07/24;5.347,;;;;;;;;
06/06/24;5.353,;;;;;;;;
06/05/24;5.354,;;;;;;;;
06/04/24;5.291,;;;;;;;;
06/03/24;5.283,;;;;;;;;
05/31/24;5.278,;;;;;;;;
05/30/24;5.235,;;;;;;;;
05/29/24;5.267,;;;;;;;;
05/28/24;5.306,;;;;;;;;
05/24/24;5.305,;;;;;;;;
05/23/24;5.268,;;;;;;;;
05/22/24;5.307,;;;;;;;;
05/21/24;5.321,;;;;;;;;
05/20/24;5.308,;;;;;;;;
05/17/24;5.303,;;;;;;;;
05/16/24;5.297,;;;;;;;;
05/15/24;5.308,;;;;;;;;
05/14/24;5.247,;;;;;;;;
05/13/24;5.221,;;;;;;;;
05/10/24;5.223,;;;;;;;;
05/09/24;5.214,;;;;;;;;
05/08/24;5.188,;;;;;;;;
05/07/24;5.188,;;;;;;;;
05/06/24;5.181,;;;;;;;;
05/03/24;5.128,;;;;;;;;
05/02/24;5.064,;;;;;;;;
05/01/24;5.018,;;;;;;;;
04/30/24;5.036,;;;;;;;;
04/29/24;5.116,;;;;;;;;
04/26/24;5.100,;;;;;;;;
04/25/24;5.048,;;;;;;;;
04/24/24;5.072,;;;;;;;;
04/23/24;5.071,;;;;;;;;
04/22/24;5.011,;;;;;;;;
04/19/24;4.967,;;;;;;;;
04/18/24;5.011,;;;;;;;;
04/17/24;5.022,;;;;;;;;
04/16/24;5.051,;;;;;;;;
04/15/24;5.062,;;;;;;;;
04/12/24;5.123,;;;;;;;;
04/11/24;5.199,;;;;;;;;
04/10/24;5.161,;;;;;;;;
04/09/24;5.210,;;;;;;;;
04/08/24;5.202,;;;;;;;;
04/05/24;5.204,;;;;;;;;
04/04/24;5.147,;;;;;;;;
04/03/24;5.211,;;;;;;;;
04/02/24;5.206,;;;;;;;;
04/01/24;5.244,;;;;;;;;
03/28/24;5.254,;;;;;;;;
03/27/24;5.248,;;;;;;;;
03/26/24;5.204,;;;;;;;;
03/25/24;5.218,;;;;;;;;
03/22/24;5.234,;;;;;;;;
03/21/24;5.242,;;;;;;;;
03/20/24;5.225,;;;;;;;;
03/19/24;5.179,;;;;;;;;
03/18/24;5.149,;;;;;;;;
03/15/24;5.117,;;;;;;;;
03/14/24;5.150,;;;;;;;;
03/13/24;5.165,;;;;;;;;
03/12/24;5.175,;;;;;;;;
03/11/24;5.118,;;;;;;;;
03/08/24;5.124,;;;;;;;;
03/07/24;5.157,;;;;;;;;
03/06/24;5.105,;;;;;;;;
