"ITTER107","Territorio","TIPO_DATO2","Tipo indice","MISURA1","Misura","COICOP_2015","COICOP Rev. Istat","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-01","Gen-2018",0.9,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-02","Feb-2018",0.5,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-03","Mar-2018",0.8,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-04","Apr-2018",0.5,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-05","Mag-2018",1,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-06","Giu-2018",1.3,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-07","Lug-2018",1.5,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-08","Ago-2018",1.6,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-09","Set-2018",1.4,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-10","Ott-2018",1.5,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-11","Nov-2018",1.4,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2018-12","Dic-2018",1,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-01","Gen-2019",0.8,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-02","Feb-2019",0.9,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-03","Mar-2019",0.9,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-04","Apr-2019",0.9,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-05","Mag-2019",0.7,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-06","Giu-2019",0.6,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-07","Lug-2019",0.3,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-08","Ago-2019",0.3,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-09","Set-2019",0.2,,
"IT","Italia","55","indice dei prezzi al consumo per le famiglie di operai e impiegati (base 2015=100) - dati mensili ","7","variazioni percentuali tendenziali","00","indice generale","2019-10","Ott-2019",0.1,,
