date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max
2017-12-31 23:00:00+00:00,55.0,7.8855004,1.1854999,3.4959164,5.1049204,-1.8617,0.6462345,0,0,31822.877,15795.156,4.4,4.4,0.0,10.0,16.055355
2018-01-01 23:00:00+00:00,3.0,11.6355,0.83549994,4.989667,8.142026,-2.096644,1.4062723,0,0,31875.045,27410.453,0.0,0.0,0.0,0.0,18.391737
2018-01-02 23:00:00+00:00,61.0,8.485499,-1.5645001,3.1209166,6.1585846,-6.0478983,-0.555839,0,0,31931.543,27029.375,1.9,1.9,0.0,2.0,16.055353
2018-01-03 23:00:00+00:00,51.0,9.8855,0.43549997,4.4979997,7.9384823,-2.737164,1.678372,0,0,31992.436,27119.326,0.5,0.5,0.0,5.0,18.129137
2018-01-04 23:00:00+00:00,51.0,7.4855,0.23549998,4.1459165,4.8619013,-2.0959284,1.7736311,0,0,32058.4,12950.775,0.1,0.1,0.0,1.0,9.885262
2018-01-05 23:00:00+00:00,53.0,6.1355,3.8855,4.9896665,4.4969835,1.6732478,3.1428366,0,0,32129.424,0.0,2.2,2.2,0.0,6.0,6.638072
2018-01-06 23:00:00+00:00,51.0,10.185499,5.2355,8.214667,7.6678324,3.0587025,5.4723706,0,0,32205.322,0.0,1.0,1.0,0.0,4.0,24.50381
2018-01-07 23:00:00+00:00,63.0,11.3855,9.235499,10.208417,7.517003,5.396205,6.2918496,0,0,32285.918,0.0,8.3,8.3,0.0,9.0,28.521906
2018-01-08 23:00:00+00:00,63.0,13.685499,5.3855,9.427166,11.608978,3.0153208,7.038275,0,0,32371.018,20812.549,3.5999997,3.5999997,0.0,7.0,31.06239
2018-01-09 23:00:00+00:00,51.0,9.1355,4.2855,6.8667507,8.020551,1.7568436,4.9315133,0,0,32460.453,13922.847,0.3,0.3,0.0,3.0,11.019764
2018-01-10 23:00:00+00:00,51.0,9.3355,3.1355,6.450083,6.782423,0.49757814,4.3879724,0,0,32554.031,7915.326,1.1,1.1,0.0,7.0,10.086427
2018-01-11 23:00:00+00:00,3.0,9.7855,2.5855,5.289666,6.7005606,-0.51040506,2.5294735,0,0,32651.576,27019.117,0.0,0.0,0.0,0.0,13.276144
2018-01-12 23:00:00+00:00,1.0,9.0355,-0.21450001,3.6375835,6.8624134,-3.5326133,0.8324582,0,0,32752.912,28706.318,0.0,0.0,0.0,0.0,9.449572
2018-01-13 23:00:00+00:00,3.0,4.1855,-1.3145001,1.5105003,1.687355,-4.452142,-1.2354187,0,0,32857.86,10783.621,0.0,0.0,0.0,0.0,7.7043357
2018-01-14 23:00:00+00:00,51.0,6.2355,0.5355,3.245917,3.8901348,-2.2340326,0.6162453,0,0,32966.23,5090.857,0.9,0.9,0.0,3.0,7.928177
2018-01-15 23:00:00+00:00,51.0,5.4355,1.0355,3.8250828,3.2275524,-1.9992828,1.4476238,0,0,33077.863,1346.8954,0.2,0.2,0.0,1.0,9.957108
