data;scontrini;totale;ristorante
20180101;21884;578251.44;R001
20180101;28101;904541.04;R002
20180101;19961;291457.92;R003
20180101;23173;596765.52;R004
20180101;19541;471594.24;R005
20180102;0;0.00;R001
20180102;0;0.00;R002
20180102;0;0.00;R003
20180102;0;0.00;R004
20180102;0;0.00;R005
20180103;0;0.00;R001
20180103;0;0.00;R002
20180103;0;0.00;R003
20180103;0;0.00;R004
20180103;0;0.00;R005
20180104;0;0.00;R001
20180104;0;0.00;R002
20180104;0;0.00;R003
20180104;0;0.00;R004
20180104;0;0.00;R005
20180105;0;0.00;R001
20180105;0;0.00;R002
20180105;0;0.00;R003
20180105;0;0.00;R004
20180105;0;0.00;R005
20180106;0;0.00;R001
20180106;0;0.00;R002
20180106;0;0.00;R003
20180106;0;0.00;R004
20180106;0;0.00;R005
20180107;0;0.00;R001
20180107;0;0.00;R002
20180107;0;0.00;R003
20180107;0;0.00;R004
20180107;0;0.00;R005
20180108;0;0.00;R001
20180108;0;0.00;R002
20180108;0;0.00;R003
20180108;0;0.00;R004
20180108;0;0.00;R005
20180109;0;0.00;R001
20180109;0;0.00;R002
20180109;0;0.00;R003
20180109;0;0.00;R004
20180109;0;0.00;R005
20180110;0;0.00;R001
20180110;0;0.00;R002
20180110;0;0.00;R003
20180110;0;0.00;R004
20180110;0;0.00;R005
20180111;0;0.00;R001
20180111;0;0.00;R002
20180111;0;0.00;R003
20180111;0;0.00;R004
20180111;0;0.00;R005
20180112;0;0.00;R001
20180112;0;0.00;R002
20180112;0;0.00;R003
20180112;0;0.00;R004
20180112;0;0.00;R005
20180113;0;0.00;R001
20180113;0;0.00;R002
20180113;0;0.00;R003
20180113;0;0.00;R004
20180113;0;0.00;R005
20180114;0;0.00;R001
20180114;0;0.00;R002
20180114;0;0.00;R003
20180114;0;0.00;R004
20180114;0;0.00;R005
20180115;0;0.00;R001
20180115;0;0.00;R002
20180115;0;0.00;R003
20180115;0;0.00;R004
20180115;0;0.00;R005
20180116;0;0.00;R001
20180116;0;0.00;R002
20180116;0;0.00;R003
20180116;0;0.00;R004
20180116;0;0.00;R005
20180117;0;0.00;R001
20180117;0;0.00;R002
20180117;0;0.00;R003
20180117;0;0.00;R004
20180117;0;0.00;R005
20180118;0;0.00;R001
20180118;0;0.00;R002
20180118;0;0.00;R003
